Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set*media*pair_id,set1,2dd,2,set1,3dp,6,0.4079,19.7238,3823,0.02,0.9835,Tukey-Kramer,1.0000,0.05,-38.2622,39.0780,-79.1071,79.9229
set*media*pair_id,set1,2dd,2,set1,3dp,7,0.1053,25.3914,3823,0.00,0.9967,Tukey-Kramer,1.0000,0.05,-49.6767,49.8872,-102.26,102.47
set*media*pair_id,set1,2dd,2,set1,3dp,8,0.3125,22.7823,3823,0.01,0.9891,Tukey-Kramer,1.0000,0.05,-44.3541,44.9791,-91.5327,92.1577
set*media*pair_id,set1,2dd,2,set1,3dp,9,0.1491,22.7823,3823,0.01,0.9948,Tukey-Kramer,1.0000,0.05,-44.5175,44.8157,-91.6961,91.9943
set*media*pair_id,set1,2dd,2,set2,2dd,1,0.5313,16.0702,3823,0.03,0.9736,Tukey-Kramer,1.0000,0.05,-30.9757,32.0383,-64.2547,65.3173
set*media*pair_id,set1,2dd,2,set2,2dd,2,0.8904,30.5298,3823,0.03,0.9767,Tukey-Kramer,1.0000,0.05,-58.9659,60.7466,-122.19,123.97
set*media*pair_id,set1,2dd,2,set2,2dd,3,-0.6249,26.2579,3823,-0.02,0.9810,Tukey-Kramer,1.0000,0.05,-52.1056,50.8559,-106.48,105.23
set*media*pair_id,set1,2dd,2,set2,2dd,4,0.4106,17.0445,3823,0.02,0.9808,Tukey-Kramer,1.0000,0.05,-33.0066,33.8279,-68.3032,69.1245
set*media*pair_id,set1,2dd,2,set2,2dd,5,2.7198,8.9575,3823,0.30,0.7614,Tukey-Kramer,1.0000,0.05,-14.8421,20.2816,-33.3916,38.8312
set*media*pair_id,set1,2dd,2,set2,2dd,6,3.4820,15.3057,3823,0.23,0.8200,Tukey-Kramer,1.0000,0.05,-26.5261,33.4902,-58.2219,65.1860
set*media*pair_id,set1,2dd,2,set2,2dd,7,0.1494,17.9146,3823,0.01,0.9933,Tukey-Kramer,1.0000,0.05,-34.9737,35.2725,-72.0722,72.3710
set*media*pair_id,set1,2dd,2,set2,2dd,8,-0.3514,15.3057,3823,-0.02,0.9817,Tukey-Kramer,1.0000,0.05,-30.3595,29.6568,-62.0553,61.3526
set*media*pair_id,set1,2dd,2,set2,2dd,9,-0.2916,15.3057,3823,-0.02,0.9848,Tukey-Kramer,1.0000,0.05,-30.2998,29.7165,-61.9956,61.4123
set*media*pair_id,set1,2dd,2,set2,3dd,1,-0.1523,16.7436,3823,-0.01,0.9927,Tukey-Kramer,1.0000,0.05,-32.9795,32.6749,-67.6528,67.3482
set*media*pair_id,set1,2dd,2,set2,3dd,2,0.1201,27.6138,3823,0.00,0.9965,Tukey-Kramer,1.0000,0.05,-54.0191,54.2593,-111.20,111.44
set*media*pair_id,set1,2dd,2,set2,3dd,3,-0.4762,24.1349,3823,-0.02,0.9843,Tukey-Kramer,1.0000,0.05,-47.7947,46.8422,-97.7744,96.8219
set*media*pair_id,set1,2dd,2,set2,3dd,4,-0.9669,17.7174,3823,-0.05,0.9565,Tukey-Kramer,1.0000,0.05,-35.7034,33.7696,-72.3935,70.4597
set*media*pair_id,set1,2dd,2,set2,3dd,5,1.6136,11.5240,3823,0.14,0.8887,Tukey-Kramer,1.0000,0.05,-20.9802,24.2074,-44.8446,48.0718
set*media*pair_id,set1,2dd,2,set2,3dd,6,0.7728,16.3990,3823,0.05,0.9624,Tukey-Kramer,1.0000,0.05,-31.3788,32.9244,-65.3385,66.8841
set*media*pair_id,set1,2dd,2,set2,3dd,7,-0.9939,18.5883,3823,-0.05,0.9574,Tukey-Kramer,1.0000,0.05,-37.4377,35.4500,-75.9312,73.9434
set*media*pair_id,set1,2dd,2,set2,3dd,8,0.000459,15.9801,3823,0.00,1.0000,Tukey-Kramer,1.0000,0.05,-31.3298,31.3307,-64.4221,64.4230
set*media*pair_id,set1,2dd,2,set2,3dd,9,-0.3469,15.9801,3823,-0.02,0.9827,Tukey-Kramer,1.0000,0.05,-31.6772,30.9833,-64.7695,64.0756
set*media*pair_id,set1,2dd,2,set2,3dp,1,0.8186,11.8453,3823,0.07,0.9449,Tukey-Kramer,1.0000,0.05,-22.4052,24.0424,-46.9351,48.5722
set*media*pair_id,set1,2dd,2,set2,3dp,2,0.05256,22.7182,3823,0.00,0.9982,Tukey-Kramer,1.0000,0.05,-44.4883,44.5934,-91.5342,91.6393
set*media*pair_id,set1,2dd,2,set2,3dp,3,-0.8805,22.0318,3823,-0.04,0.9681,Tukey-Kramer,1.0000,0.05,-44.0758,42.3148,-89.7004,87.9394
set*media*pair_id,set1,2dd,2,set2,3dp,4,0.3090,12.8197,3823,0.02,0.9808,Tukey-Kramer,1.0000,0.05,-24.8252,25.4431,-51.3728,51.9907
set*media*pair_id,set1,2dd,2,set2,3dp,5,0.9015,4.7397,3823,0.19,0.8492,Tukey-Kramer,1.0000,0.05,-8.3910,10.1941,-18.2061,20.0092
set*media*pair_id,set1,2dd,2,set2,3dp,6,-0.3809,11.0819,3823,-0.03,0.9726,Tukey-Kramer,1.0000,0.05,-22.1079,21.3462,-45.0570,44.2953
set*media*pair_id,set1,2dd,2,set2,3dp,7,-0.08390,13.6911,3823,-0.01,0.9951,Tukey-Kramer,1.0000,0.05,-26.9264,26.7586,-55.2785,55.1107
set*media*pair_id,set1,2dd,2,set2,3dp,8,0.6462,11.0819,3823,0.06,0.9535,Tukey-Kramer,1.0000,0.05,-21.0809,22.3733,-44.0299,45.3223
set*media*pair_id,set1,2dd,2,set2,3dp,9,0.09271,11.0819,3823,0.01,0.9933,Tukey-Kramer,1.0000,0.05,-21.6344,21.8198,-44.5834,44.7688
set*media*pair_id,set1,2dd,3,set1,2dd,4,-0.7806,0.8818,3823,-0.89,0.3761,Tukey-Kramer,1.0000,0.05,-2.5094,0.9482,-4.3355,2.7743
set*media*pair_id,set1,2dd,3,set1,2dd,5,0.3537,3.4794,3823,0.10,0.9190,Tukey-Kramer,1.0000,0.05,-6.4681,7.1754,-13.6735,14.3808
set*media*pair_id,set1,2dd,3,set1,2dd,6,0.4356,0.3707,3823,1.18,0.2400,Tukey-Kramer,1.0000,0.05,-0.2912,1.1624,-1.0588,1.9301
set*media*pair_id,set1,2dd,3,set1,2dd,7,-0.1791,5.5098,3823,-0.03,0.9741,Tukey-Kramer,1.0000,0.05,-10.9816,10.6234,-22.3917,22.0334
set*media*pair_id,set1,2dd,3,set1,2dd,8,-1.1943,2.9081,3823,-0.41,0.6813,Tukey-Kramer,1.0000,0.05,-6.8959,4.5074,-12.9182,10.5297
set*media*pair_id,set1,2dd,3,set1,2dd,9,-1.5134,2.9081,3823,-0.52,0.6028,Tukey-Kramer,1.0000,0.05,-7.2151,4.1882,-13.2374,10.2106
set*media*pair_id,set1,2dd,3,set1,3dd,1,-2.1277,1.5642,3823,-1.36,0.1738,Tukey-Kramer,1.0000,0.05,-5.1945,0.9391,-8.4337,4.1783
